"from_user_name","to_user_name","in_reply_to_status_id","location"
"DaniRodriz_","Sanchezmendieta",1.32779428956966E+018,"Ecuador"
"fabmons64","ecuarauz",1.32905173566351E+018,"Cuenca - Ecuador"
"Zarahrnandez","ecuarauz",1.32876195898898E+018,"Ecuador"
"UnesCarchi","ecuarauz",1.32905173801231E+018,"Tulcan, Ecuador"
"Zarahrnandez","GisseGarzonM",1.32843450019656E+018,"Ecuador"
"Zarahrnandez","InfoNodal",1.32844272396003E+018,"Ecuador"
"Claudia22fa","maenapo",1.32874376141809E+018,"Manabi, Ecuador"
"Zarahrnandez","ecuarauz",1.32541809414838E+018,"Ecuador"
"Claudia22fa","maenapo",1.32874376141809E+018,"Manabi, Ecuador"
"hannahffm37","GoberNapo",1.32872457666318E+018,"Ecuador"
"DianaSanchezL2","SurGenteGuayas",1.32853990411724E+018,"Ecuador"
"Mor1ri","AlcaldiaIbarra",1.30553686006048E+018,"Machala, Ecuador"
"MilagritosM_","riobamba",1.32885716651887E+018,"Ecuador"
"F3rnandoJos3_","BcodeMachala",1.32727592245468E+018,"Ecuador"
"ValentinaRodrz_","ecuavisa",1.32888066313993E+018,"Ecuador"
"1JavierEliu","AndreaMera83",1.32807434478704E+018,"Ecuador"
"05AngelRm","edivinueza1",1.32849966557527E+018,"Ecuador"
"fabmons64","rabascallcarlos",1.3290971240013E+018,"Cuenca - Ecuador"
"UnesCarchi","ecuarauz",1.32922426744841E+018,"Tulcan, Ecuador"
"kolectiVOZ","kolectiVOZ",1.32949995762006E+018,"Ecuador"
"fabmons64","FrenteProgreso",1.32919357355683E+018,"Cuenca - Ecuador"
"Alvaro71173496","ecuarauz",1.32976412759052E+018,
"Mashi_Pablo","EstebanMeloG",1.33088283817089E+018,"Guayaquil, Ecuador"
"Santiag15940961","VanessaFreireV5",1.33194109321933E+018,"Babahoyo, Ecuador"
"DiegoCampana2","fausthe1",1.33214014778633E+018,"Magenta, Lombardia"
"Mashi_Pablo","ecuarauz",1.33350056408528E+018,"Guayaquil, Ecuador"
"EmilyyaCorrea","JPatriaRenovada",1.33304404436104E+018,"Ecuador"
"CRiveraC_France","MashiRafael",1.3342471559687E+018,"En el Aire..."
"Mashi_Pablo","lorenzonoboa",1.33486528696991E+018,"Guayaquil, Ecuador"
"Mashi_Pablo","YoSoyLaAssange",1.33495502416271E+018,"Guayaquil, Ecuador"
"Miranda57735678","UNESECUADOR",1.33535828900609E+018,
"mairmasolp","ecuarauz",1.33540551603455E+018,
"EcuadorRC1","CarlosPonceII",1.33531561894238E+018,"SurAmerica, Ecuador +593"
"Mashi_Pablo","Alexandra_Arce",1.33536630360396E+018,"Guayaquil, Ecuador"
"CARMENCORINASA1","ecuarauz",1.33558738481415E+018,"Valencia, España"
"Ferxho_Iniguez","Ferxho_Iniguez",1.33637830497947E+018,"Guayaquil  Ecuador"
"LeitoArciniega","CarlosVerareal",1.33471072883037E+018,"Quito, Ecuador"
"IngCivilTopog","CompromisoRC",1.33646985623813E+018,"Guayaquil, Ecuador"
"IngCivilTopog","marcelaguinaga",1.33646054809607E+018,"Guayaquil, Ecuador"
"IngCivilTopog","nicolem_EC",1.33648023323562E+018,"Guayaquil, Ecuador"
"IngCivilTopog","LolycpaC",1.33641233666449E+018,"Guayaquil, Ecuador"
"IngCivilTopog","RonnyAleagaS",1.33644809535012E+018,"Guayaquil, Ecuador"
"IngCivilTopog","OrlandoPerezEcu",1.33647855450321E+018,"Guayaquil, Ecuador"
"IngCivilTopog","HijadelSol17",1.33635217551412E+018,"Guayaquil, Ecuador"
"IngCivilTopog","HijadelSol17",1.33612637103522E+018,"Guayaquil, Ecuador"
"InrriGalAco","josemsalem",1.33647372863348E+018,
"Mashi_Pablo","MashiRafael",1.33704589147212E+018,"Guayaquil, Ecuador"
"Mashi_Pablo","LassoGuillermo",1.33676496041694E+018,"Guayaquil, Ecuador"
"Mashi_Pablo","Rebelde2020Mai",1.33681683763662E+018,"Guayaquil, Ecuador"
"Andres_Salas87","Andres_Salas87",1.33715636806373E+018,
"InrriGalAco","AuraCarrilloUn",1.33688588395028E+018,
"Mashi_Pablo","YulletErazo",1.3371345968283E+018,"Guayaquil, Ecuador"
"moscosojoaquin","amandaasubiar",1.33825144585919E+018,
"moscosojoaquin","MunicipioQuito",1.3368620582777E+018,
"moscosojoaquin","MashiRafael",1.33827277277937E+018,
"moscosojoaquin","MashiRafael",1.33825898954556E+018,
"AlmaMiaEcu","AlmaMiaEcu",1.33828404769765E+018,"Chone, Manabí, Ecuador"
"silviBethzabe","YoSoyLaAssange",1.33828904384765E+018,"Ecuador"
"silviBethzabe","ecuarauz",1.33829284670989E+018,"Ecuador"
"silviBethzabe","CompromisoRC",1.3382925585906E+018,"Ecuador"
"Fer47300273","carlosgarcesv",1.33829698547712E+018,
"silviBethzabe","CompromisoRC",1.33830026926483E+018,"Ecuador"
"bryanpontont","Franciscoleonf5",1.33830069650923E+018,"Taura, Guayas, Ecuador"
"FPNEcuador","ecuarauz",1.33829284670989E+018,"Quito - Ecuador"
"FPNEcuador","PaolaCabezasC",1.3383048718214E+018,"Quito - Ecuador"
"DiegoBarrazuet1","ecuarauz",1.33797675446877E+018,"Tena"
"PriscyFM","ecuarauz",1.33829284670989E+018,
"silviBethzabe","ramirorddhh",1.33830337255905E+018,"Ecuador"
"mairmasolp","ecuarauz",1.33829284670989E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33831917800096E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33831966218305E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33832028793546E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33832257785763E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33832305350432E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33832388192962E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33832443166453E+018,
"CarlosTutivenV","ecuarauz",1.33829284670989E+018,"Ecuador"
"Rc1Tuiteros","Rc1Tuiteros",1.33832467627212E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33832545876986E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33832644067321E+018,
"Rc1Tuiteros","Rc1Tuiteros",1.33832712335075E+018,
"DiegoBarrazuet1","UNESNapo",1.33830571547631E+018,"Tena"
"Joel21agtx","ecuarauz",1.33829284670989E+018,"Ecuador"
"kathylleon","ecuarauz",1.33829284670989E+018,"Quito"
"esthercuestasan","kathyaalmeida21",1.33830301948255E+018,"Quito, Ecuador"
"maridi54","Rc1Tuiteros",1.33832443166453E+018,"Ecuador"
"AngieLopeeez","frentecarcorrea",1.33848425879773E+018,"Ecuador"
"OKaedbay","CNNEE",1.33843131123361E+018,"Ecuador"
"GregorioBerrot","WRadioEcuador",1.33848576932592E+018,"Ecuador"
"1JavierEliu","ChileenEcuador",1.33847139152451E+018,"Ecuador"
"carolinedex32","myrian_venegas",1.33848482637933E+018,"Ecuador"
"05AngelRm","WFP_Ecuador",1.33848388393601E+018,"Ecuador"
"Alejaherrera80","BloqueCREO21",1.33794089869758E+018,"Ecuador🇪🇨🇪🇨🇪🇨"
"Mariagg22nn","sergiovalarezo",1.33846860849475E+018,"Ecuador"
"Jennifer_Med39","esthercuestasan",1.33847596719559E+018,"Ecuador"
"jessicarji54","MnicaCadena6",1.33847653083037E+018,"Ecuador"
"Monicacas1001","maxlascano",1.33831401832758E+018,"Ecuador"
"laurielopezz","Rc1Tuiteros",1.33832662284024E+018,"Ecuador"
"LuisaRaYu","Expresoec",1.33774900286817E+018,"Ecuador"
"Alejaherrera80","CompromisoRC",1.33847041637811E+018,"Ecuador🇪🇨🇪🇨🇪🇨"
"JessicaRa_","ecuarauz",1.33834551397708E+018,"Ecuador"
"Betirojs","Rc1Tuiteros",1.33832662284024E+018,"Ecuador"
"MirezFrancisca","enma_macas",1.33837139072301E+018,"Ecuador"
"marielamartine0","MiguelR90802641",1.33848881180699E+018,"Ecuador"
"silviamrq","Rc1Tuiteros",1.33832443166453E+018,"Ecuador"
"marielamartine0","ROCA21243068",1.33848849220102E+018,"Ecuador"
"RosaFer35","carlosgarcesv",1.33847243881285E+018,"Ecuador"
"Betirojs","mabsegovia",1.33846866829715E+018,"Ecuador"
"Americarax1996","UNESECUADOR",1.33848651297608E+018,"Ecuador⬅"
"KarlitaDgz_85","Marcelavera55",1.33848473539231E+018,"Ecuador 🇪🇨"
"Zarahrnandez","mabsegovia",1.33846866829715E+018,"Ecuador"
"joseperezdani","PrensaDelBanano",1.33682003393941E+018,"Machala, Ecuador"
"EmiliaGo8","AngelicaVacaCa2",1.3379474360615E+018,"Manabi, Ecuador"
"DaniRodriz_","Rebelde2020Mai",1.33815339283796E+018,"Ecuador"
"Zarahrnandez","LForajidos",1.33829658600743E+018,"Ecuador"
"AlejMartz12","Ruminahui1973",1.33848705766519E+018,"Ecuador"
